,ROC AUC,Average Precision
STABL Lasso,"0.570 [0.493, 0.646]","0.557 [0.472, 0.656]"
STABL XGBoost,"0.596 [0.520, 0.672]","0.578 [0.487, 0.682]"
STABL ALasso,"0.590 [0.526, 0.652]","0.543 [0.466, 0.628]"
Union STABL Lasso & STABL XGBoost,"0.608 [0.538, 0.683]","0.605 [0.513, 0.708]"
Intersect STABL Lasso & STABL XGBoost,"0.561 [0.486, 0.632]","0.508 [0.440, 0.595]"
Union STABL Lasso & STABL ALasso,"0.582 [0.501, 0.656]","0.564 [0.490, 0.665]"
Intersect STABL Lasso & STABL ALasso,"0.573 [0.506, 0.636]","0.529 [0.457, 0.623]"
Union STABL XGBoost & STABL ALasso,"0.575 [0.496, 0.651]","0.572 [0.488, 0.676]"
Intersect STABL XGBoost & STABL ALasso,"0.575 [0.510, 0.637]","0.520 [0.448, 0.601]"
