,Feature Name
Feature n°1,CD4_T_cells_CD80_CD86+_stromal_area
Feature n°2,Stroma_vascular_endothelium_stromal_area
Feature n°3,Macrophages_M1-like_glandfront_area
Feature n°4,Macrophages_M1-like_stromal_area
Feature n°5,Macrophages_M2-like_stromal_area
Feature n°6,aSMA-br_fibroblast_stromal_area
Feature n°7,aSMA-br_mesenchymal_stromal_area
Feature n°8,aSMA-br_vascular_endothelium_stromal_area
Feature n°9,Dendritic_Cells_CD209CD86dp_glandfront_eccentricity
Feature n°10,CD8_T_cells_CD80_CD86+_glandfront_celldistance
